Delta Close,Signal
-2.559997,1
3.410003,-1
3.679993,-1
3.25,-1
-1.709992,1
-3.440002,1
-4.220001,1
8.600006,-1
-2.480011,1
0.050003,0
2.410004,-1
-2.190003,1
9.110001,-1
3.889999,-1
-0.990005,0
0.580002,0
-1.039994,1
-2.570007,1
-2.25,1
-0.409989,0
0,0
-1.529998,1
-0.370011,0
1.860001,-1
5.559998,-1
-12.759995,1
2.240005,-1
-6.87001,1
0.630005,0
-6.899994,1
-0.87001,0
-4.279999,1
3.669998,-1
-2.86,1
0.910003,0
-0.839996,0
7.809997,-1
-2,1
-5.710006,1
-4.599991,1
-1.830002,1
-6.5,1
6.75,-1
-0.039993,0
1.969986,-1
-5.859986,1
0.329987,0
3.350006,-1
-0.630005,0
-5.98999,1
-1.600006,1
-7.529999,1
2.290001,-1
3.780006,-1
-7.530006,1
12.040001,-1
-1.050003,1
5.770004,-1
4.559998,-1
4.729995,-1
0.860001,0
4.570007,-1
-3.169998,1
2.369995,-1
-3.220001,1
-2.559998,1
1.349991,-1
0.430008,0
-0.470001,0
5.589996,-1
0.050003,0
-0.520004,0
-0.37999,0
-5.400009,1
5.76001,-1
2.110001,-1
5.319992,-1
2.290008,-1
-1.450012,1
2.880005,-1
-1.550003,1
-1.910004,1
-1.719986,1
1.229996,-1
-3.860001,1
-1.850006,1
1.14,-1
3.87001,-1
-3.180008,1
-1.220001,1
-4.819992,1
2.979996,-1
-0.180008,0
8.840011,-1
-0.880005,0
2.75,-1
-3.119995,1
6.5,-1
0.209992,0
-0.019989,0
-0.720002,0
3.539994,-1
-2.190003,1
3.210007,-1
6.75,-1
-1.479996,1
2.859986,-1
1.990005,-1
0.680008,0
-1.300003,1
-2.220001,1
-2.180008,1
-1.819992,1
0.309997,0
-2,1
-2.61,1
-9.149994,1
-0.090012,0
-5.23999,1
-4.680008,1
1.610001,-1
0.510009,0
-0.440002,0
2.050003,-1
1.279999,-1
-1.270004,1
-0.279999,0
-0.89,0
1.300003,-1
-7.160003,1
-2.790009,1
0.870011,0
-3.320008,1
-2.139999,1
4.040008,-1
0.339997,0
-1.630005,1
2.37001,-1
0.309998,0
-0.050003,0
1.399994,-1
0.62001,0
14.970001,-1
-8.390014,1
-2.099991,1
-2.419998,1
-0.190003,0
2.869995,-1
2.919999,-1
0.050003,0
-2.309998,1
0,0
0.919998,0
9.070007,-1
0.649994,0
-0.770004,0
4.970001,-1
-8.309997,1
-9.520004,1
6.669998,-1
-0.659989,0
-1.029999,1
4.819993,-1
0.949997,0
-11.369996,1
4.539994,-1
-2.859986,1
6.14,-1
-11.810013,1
1.580002,-1
-2.569992,1
0.229995,0
-0.059997,0
-0.440003,0
-1.690002,1
4.190002,-1
-0.75,0
-4.11,1
-1.580002,1
2.779999,-1
3.419998,-1
0.450012,0
-1.200012,1
2.550003,-1
-3.220001,1
1.580002,-1
-0.020005,0
0.440003,0
-1.029999,1
2.880005,-1
3.020004,-1
-0.139999,0
-2.180008,1
-8.179993,1
-11.75,1
-4.310005,1
-9.120003,1
7.870003,-1
-1.970001,1
-4.379998,1
7.079995,-1
-4.930001,1
0.560006,0
-8.96,1
2.089997,-1
4.290001,-1
4.139999,-1
2.360001,-1
10.150001,-1
0.130005,0
-0.389999,0
4.319992,-1
1.220001,-1
-0.050003,0
-4.110001,1
4.339997,-1
0.020004,0
1.650009,-1
2.179993,-1
1.070007,-1
-4.020004,1
-0.89,0
0.809998,0
-4.929993,1
-1,0
-2.040008,1
-5.290001,1
6.32,-1
1.839996,-1
4.050003,-1
-1.300003,1
3.480011,-1
1.36,-1
6.939988,-1
1.680008,-1
-4.110001,1
-11.119995,1
-2.37001,1
-4.189988,1
5.959992,-1
5.040008,-1
3.099991,-1
-1.789993,1
1.36,-1
-0.25,0
-0.23001,0
-8.669999,1
1.350006,-1
0.089997,0
2.080002,-1
-3.210007,1
-0.059998,0
0.110001,0
-1.229996,1
0.990006,0
1.379989,-1
-0.319992,0
-0.930008,0
2.350006,-1
1.619996,-1
0,0
